size,calculation time
100, 0.037
100, 0.026
100, 0.01
100, 0.024
100, 0.013
200, 0.021
200, 0.075
200, 0.069
200, 0.019
200, 0.036
500, 0.586
500, 0.565
500, 0.55
500, 0.319
500, 0.455
1000, 2.252
1000, 1.376
1000, 2.035
1000, 1.986
1000, 1.177
2000, 9.891
2000, 10.472
2000, 12.295
2000, 12.143
