size,calculation time
100, 0.015
100, 0.033
100, 0.025
100, 0.011
100, 0.011
200, 0.029
200, 0.022
200, 0.019
200, 0.038
200, 0.018
500, 0.135
500, 0.149
500, 0.148
500, 0.147
500, 0.153
1000, 1.361
1000, 1.465
1000, 1.539
1000, 1.36
1000, 1.401
2000, 12.937
2000, 13.366
2000, 13.323
2000, 13.334
2000, 13.594
