size,calculation time
100, 0.01
100, 0.01
100, 0.01
100, 0.01
100, 0.01
200, 0.021
200, 0.027
200, 0.021
200, 0.021
200, 0.022
500, 0.259
500, 0.266
500, 0.262
500, 0.273
500, 0.254
1000, 2.315
1000, 2.394
1000, 2.411
1000, 2.529
1000, 2.629
2000, 23.374
2000, 23.69
2000, 23.748
2000, 24.162
2000, 23.965
