size,calculation time
100, 0.01
100, 0.01
100, 0.009
100, 0.009
100, 0.01
200, 0.031
200, 0.033
200, 0.033
200, 0.031
200, 0.031
500, 0.453
500, 0.471
500, 0.528
500, 0.411
500, 0.509
1000, 4.146
1000, 4.219
1000, 4.327
1000, 4.362
1000, 4.335
2000, 41.379
2000, 42.145
2000, 42.574
2000, 42.307
2000, 42.499
