size,calculation time
100, 0.009
100, 0.019
100, 0.022
100, 0.026
100, 0.023
200, 0.081
200, 0.028
200, 0.109
200, 0.148
200, 0.126
500, 0.457
500, 0.178
500, 0.149
500, 0.351
500, 0.353
1000, 1.48
1000, 1.358
1000, 1.114
1000, 1.316
1000, 1.095
2000, 8.96
2000, 8.722
2000, 8.899
2000, 10
2000, 9.588
