size, calculation time
100, 0.02
100, 0
100, 0.01
100, 0.02
100, 0.01
200, 0.02
200, 0.02
200, 0.02
200, 0.02
200, 0.02
500, 0.26
500, 0.25
500, 0.25
500, 0.27
500, 0.26
1000, 2.25
1000, 2.3
1000, 2.24
1000, 2.22
1000, 2.31
2000, 16.05
2000, 15.99
2000, 16.02
2000, 16
2000, 15.99
