size, calculation time
100, 0.01
100, 0.02
100, 0.01
100, 0.01
100, 0
200, 0.01
200, 0.03
200, 0.02
200, 0.03
200, 0.02
500, 0.19
500, 0.19
500, 0.19
500, 0.19
500, 0.2
1000, 1.67
1000, 1.63
1000, 1.66
1000, 1.68
1000, 1.67
2000, 11.11
2000, 11.14
2000, 11.13
2000, 11.14
2000, 11.14
