size, calculation time
100, 0.02
100, 0.01
100, 0.01
100, 0.01
100, 0.01
200, 0.04
200, 0.03
200, 0.03
200, 0.04
200, 0.03
500, 0.49
500, 0.49
500, 0.49
500, 0.48
500, 0.48
1000, 3.65
1000, 3.72
1000, 3.82
1000, 3.68
1000, 3.81
2000, 31.19
2000, 30.93
2000, 31.06
2000, 31.49
2000, 31.35
