size, calculation time
100, 0.01
100, 0.01
100, 0.02
100, 0.01
100, 0.01
200, 0.07
200, 0.07
200, 0.06
200, 0.06
200, 0.07
200, 0.07
200, 0.07
200, 0.07
200, 0.07
200, 0.06
1000, 7
1000, 6.99
1000, 6.99
1000, 7.25
1000, 7
2000, 60.39
2000, 60.58
2000, 60.59
2000, 60.69
2000, 60.75
