size,calculation time
100, 7.403
100, 7.543
100, 7.533
100, 7.929
100, 7.358
200, 56.687
200, 58.122
200, 91.472
200, 89.417
200, 86.461
500, 1345.23
500, 1067.49
500, 1070.81
500, 1069.45
500, 1058.42
1000, 10458.9
1000, 10450.2
1000, 9044.63
1000, 10416.7
1000, 10223.3
2000, 116134
2000, 117371
2000, 112589
2000, 114030
2000, 112811
